source,target,cluster
19995,8645,10
19995,9509,10
19995,9279,10
19995,1487,10
19995,77174,10
19995,4824,10
19995,9620,10
19995,10199,10
19995,10771,10
19995,8078,10
19995,7485,10
19995,170687,10
19995,6435,10
19995,6278,10
19995,82682,10
19995,17610,10
19995,16558,10
19995,9849,10
19995,16866,10
19995,11679,10
19995,38321,10
19995,14411,10
19995,8413,10
19995,9664,10
19995,10384,10
19995,137321,10
19995,123553,10
19995,11260,10
19995,8285,10
19995,210860,10
19995,2312,10
19995,9839,10
19995,13922,10
19995,190859,10
19995,257445,10
19995,9007,10
19995,889,10
19995,1370,10
19995,347969,10
19995,35791,10
19995,72431,10
19995,1813,10
19995,8840,10
19995,10589,10
19995,71676,10
19995,10022,10
19995,11358,10
19995,6477,10
19995,10530,10
19995,1924,10
19995,9327,10
19995,10603,10
19995,8839,10
19995,156022,10
19995,8963,10
19995,8984,10
19995,795,10
19995,9374,10
19995,8584,10
19995,2320,10
19995,8077,10
19995,8818,10
19995,8195,10
19995,116149,10
19995,10632,10
19995,72197,10
19995,12123,10
19995,9833,10
19995,145220,10
19995,14623,10
19995,36586,10
19995,8536,10
19995,479,10
19995,11456,10
19995,3683,10
19995,22803,10
19995,285923,10
19995,97630,10
19995,11817,10
19995,18239,10
19995,38050,10
19995,72105,10
19995,37686,10
19995,187017,10
19995,628,10
19995,224141,10
19995,2112,10
19995,10329,10
19995,74465,10
19995,13811,10
19995,6950,10
19995,225574,10
19995,13836,10
19995,752,10
19995,6038,10
19995,11451,10
19995,60304,10
19995,46529,10
19995,300671,10
19995,228326,10
19995,2649,10
19995,9631,10
19995,928,10
19995,1577,10
19995,14199,10
19995,1907,10
19995,9691,10
19995,72710,10
19995,10782,10
19995,10061,10
19995,10386,10
19995,421,10
19995,316152,10
19995,241554,10
19995,2252,10
19995,11968,10
19995,10047,10
19995,69668,10
19995,11212,10
19995,11863,10
19995,109491,10
19995,9275,10
19995,10416,10
19995,47327,10
19995,15268,10
19995,10796,10
19995,9548,10
19995,1900,10
19995,198184,10
19995,9481,10
19995,9896,10
19995,167,10
19995,11232,10
19995,1636,10
19995,2148,10
19995,260346,10
19995,1389,10
19995,9894,10
19995,8592,10
19995,913,10
19995,1368,10
19995,593,10
19995,5393,10
19995,9095,10
19995,320,10
19995,20533,10
19995,10684,10
19995,888,10
19995,1493,10
19995,88751,10
19995,11130,10
19995,9944,10
19995,10731,10
19995,9869,10
19995,926,10
19995,64328,10
19995,36647,10
19995,1537,10
19995,9360,10
19995,27983,10
19995,9981,10
19995,7453,10
19995,7737,10
19995,8987,10
19995,9759,10
19995,9486,10
19995,9906,10
19995,841,10
19995,4688,10
19995,2207,10
19995,9381,10
19995,9625,10
19995,9304,10
19995,20856,10
19995,21355,10
19995,11439,10
19995,9457,10
19995,1494,10
19995,2185,10
19995,58233,10
19995,116977,10
19995,5503,10
19995,1369,10
19995,10935,10
19995,834,10
19995,228066,10
19995,11560,10
19995,2637,10
19995,49730,10
19995,9607,10
19995,79,10
19995,46528,10
19995,280391,10
19995,9476,10
19995,10610,10
19995,745,10
19995,165,10
19995,216015,10
19995,12279,10
19995,193756,10
19995,196,10
19995,6114,10
19995,9036,10
19995,9361,10
19995,7461,10
19995,820,10
19995,6073,10
19995,8007,10
19995,4380,10
19995,11551,10
19995,10336,10
19995,11362,10
19995,48138,10
19995,68179,10
19995,1579,10
19995,34851,10
19995,9930,10
19995,1586,10
19995,2044,10
19995,9913,10
19995,71864,10
19995,209451,10
19995,11975,10
19995,11831,10
19995,440,10
19995,11172,10
19995,39513,10
19995,8224,10
19995,10154,10
19995,188161,10
19995,8850,10
19995,11398,10
19995,10391,10
19995,9306,10
19995,11370,10
19995,11858,10
19995,62835,10
19995,10461,10
19995,2687,10
19995,78698,10
19995,30943,10
19995,24418,10
19995,19898,10
19995,4965,10
19995,15074,10
19995,56715,10
19995,1272,10
19995,266396,10
19995,9978,10
19995,10428,10
19995,5353,10
19995,14392,10
19995,110415,10
19995,9495,10
19995,256040,10
19995,24420,10
19995,9531,10
19995,12289,10
19995,9488,10
19995,44865,10
19995,256961,10
19995,5852,10
19995,12508,10
19995,1091,10
19995,87421,10
19995,10871,10
19995,13503,10
19995,299687,10
19995,10488,10
19995,96721,10
19995,8966,10
19995,16911,10
19995,2163,10
19995,23048,10
19995,227735,10
19995,48171,10
19995,782,10
19995,365222,10
19995,817,10
19995,268,10
19995,943,10
19995,10054,10
19995,44264,10
19995,152,10
19995,409,10
19995,9348,10
19995,8843,10
19995,9313,10
19995,140823,10
19995,12437,10
19995,1576,10
19995,5516,10
19995,11469,10
19995,88794,10
19995,11979,10
19995,169,10
19995,94348,10
19995,336004,10
19995,35019,10
19995,10410,10
19995,8836,10
19995,14442,10
19995,59965,10
19995,14175,10
19995,11918,10
19995,49526,10
19995,9093,10
19995,118957,10
19995,849,10
19995,4515,10
19995,18886,10
19995,13496,10
19995,22787,10
19995,144336,10
19995,9616,10
19995,14113,10
19995,285783,10
19995,49478,10
19995,9311,10
19995,9280,10
19995,26843,10
19995,11876,10
19995,22267,10
19995,1969,10
19995,198663,10
19995,1381,10
19995,2900,10
19995,21311,10
19995,9600,10
19995,202575,10
19995,71469,10
19995,85446,10
19995,326,10
19995,10685,10
19995,10719,10
19995,9294,10
19995,9647,10
19995,38322,10
19995,45612,10
19995,7305,10
19995,157841,10
19995,12106,10
19995,11141,10
19995,31867,10
19995,10253,10
19995,3587,10
19995,24662,10
19995,182,10
19995,2054,10
19995,698,10
19995,11313,10
19995,10559,10
19995,8012,10
19995,1574,10
19995,1637,10
19995,2907,10
19995,9273,10
19995,9880,10
19995,807,10
19995,322,10
19995,18126,10
19995,4476,10
19995,82654,10
19995,9598,10
19995,10762,10
19995,10096,10
19995,59436,10
19995,227783,10
19995,21972,10
19995,3933,10
19995,273481,10
19995,293863,10
19995,13156,10
19995,1262,10
19995,9013,10
19995,10776,10
19995,9823,10
19995,133805,10
19995,12763,10
19995,9766,10
19995,12244,10
19995,9271,10
19995,4474,10
19995,184346,10
19995,43539,10
19995,9920,10
19995,11702,10
19995,18550,10
19995,8869,10
19995,3489,10
19995,2122,10
19995,37707,10
19995,10658,10
19995,9042,10
19995,11208,10
19995,14164,10
19995,11058,10
19995,57089,10
19995,8054,10
