,budget,genres,id,popularity,release_date,revenue,title,vote_average,vote_count,profit,release_year,cluster
105,170000000,Fantasy,241259,56.268916,25-05-2016,299370084,Alice Through the Looking Glass,6.5,1725,129370084,2016,9
106,160000000,Fantasy,810,42.986467,17-05-2007,798958165,Shrek the Third,6,2278,638958165,2007,9
107,160000000,Action,68735,63.148529,25-05-2016,433677183,Warcraft,6.3,2268,273677183,2016,3
108,155000000,Science Fiction,87101,202.042635,23-06-2015,440603537,Terminator Genisys,5.8,3631,285603537,2015,11
109,155000000,Adventure,10140,49.661984,13-08-2010,415686217,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,260686217,2010,4
110,140000000,History,676,34.20669,21-05-2001,449220945,Pearl Harbor,6.6,1791,309220945,2001,18
111,150000000,Adventure,1858,25.468493,27-06-2007,709709780,Transformers,6.6,4040,559709780,2007,4
112,155000000,War,1966,39.019229,21-11-2004,167298192,Alexander,5.6,927,12298192,2004,19
113,150000000,Adventure,675,78.144395,28-06-2007,938212738,Harry Potter and the Order of the Phoenix,7.4,5494,788212738,2007,4
114,150000000,Adventure,674,101.250416,05-11-2005,895921036,Harry Potter and the Goblet of Fire,7.5,5608,745921036,2005,4
115,150000000,Fantasy,8960,56.758411,01-07-2008,624029371,Hancock,6.2,2961,474029371,2008,9
116,150000000,Drama,6479,70.867401,14-12-2007,585349010,I Am Legend,6.9,4853,435349010,2007,1
117,150000000,Adventure,118,53.905592,13-07-2005,474968763,Charlie and the Chocolate Factory,6.7,3624,324968763,2005,4
118,150000000,Animation,2062,65.677399,22-06-2007,623722818,Ratatouille,7.5,4369,473722818,2007,8
119,150000000,Action,272,115.040024,10-06-2005,374218673,Batman Begins,7.5,7359,224218673,2005,3
120,150000000,Family,10527,44.141021,30-10-2008,603900354,Madagascar: Escape 2 Africa,6.2,1810,453900354,2008,13
121,150000000,Adventure,18360,81.781591,20-05-2009,413106170,Night at the Museum: Battle of the Smithsonian,5.9,1971,263106170,2009,4
122,150000000,Adventure,2080,5.954334,28-04-2009,373062864,X-Men Origins: Wolverine,6.2,4021,223062864,2009,4
123,150000000,Adventure,605,73.313918,05-11-2003,424988211,The Matrix Revolutions,6.4,3096,274988211,2003,4
124,150000000,Animation,109445,165.125366,27-11-2013,1274219009,Frozen,7.3,5295,1124219009,2013,8
125,150000000,Adventure,604,70.78591,15-05-2003,738599701,The Matrix Reloaded,6.7,3443,588599701,2003,4
126,170000000,Action,76338,99.499595,29-10-2013,644571402,Thor: The Dark World,6.8,4755,474571402,2013,3
127,150000000,Action,76341,434.278564,13-05-2015,378858340,Mad Max: Fury Road,7.2,9427,228858340,2015,3
128,150000000,Thriller,13448,67.447636,13-05-2009,356613439,Angels & Demons,6.5,2129,206613439,2009,7
129,150000000,Adventure,10195,86.493424,21-04-2011,449326618,Thor,6.6,6525,299326618,2011,4
130,150000000,Animation,13053,41.845878,21-11-2008,309979994,Bolt,6.3,1750,159979994,2008,8
